Dia;no_BS;no2_BS;n2o_BS;no_LV;no2_LV;n2o_LV;no_DV;no2_DV;n2o_DV
D2;14.83895;-5.73309;4.041130839;8.494489532;-4.001834029;6.373754929;8.118756068;-4.928800894;6.437758756
D2;12.48723;-5.39245;4.53728319;7.919444712;-4.704472674;6.077986784;6.385071565;-3.080105663;6.063650349
D2;7.94888;-2.26401;4.118774339;6.599324176;-3.300275589;5.615675527;8.031375539;-3.231178057;5.857540172
D2;9.79926;-1.69732;4.426268248;8.782418874;-3.622684832;6.185434841;8.417308488;-2.891739789;6.041661096
D2;8.28249;-2.03996;4.313933111;7.148785731;-2.704568519;5.756226899;5.836174074;-2.245625622;5.338272708
D2;6.328;-1.16516;3.697706413;7.547473807;-3.384324353;5.942975149;5.727776401;-2.213262108;5.876881294
D2;6.64923;-1.72837;4.390794746;6.869888633;-3.028752104;5.575188999;5.615296407;-1.767715342;6.235896397
D2;6.85506;-1.90452;4.534452965;6.747798;-2.923717419;6.777193935;4.801913647;-1.068071937;7.093844566
D2;6.77342;-1.7005;4.214060961;6.160732487;-2.371710357;5.672934921;4.794032593;-1.078249901;6.130347977
D2;6.71354;-2.36861;3.052898864;6.470109648;-2.984804561;5.503619512;4.806961427;-1.400936678;5.832618733
D2;6.47361;-3.66214;4.236392697;6.013502539;-4.710618776;4.751903342;5.121256613;-3.513695531;5.601330993
D3;6.06882;-3.43629;3.64028316;5.752024749;-4.724514233;4.380506026;4.884621101;-3.510856527;5.860878256
D3;6.25905;-4.98082;3.828522077;5.264053741;-5.836659741;4.502358712;5.045630218;-5.037523749;6.288346166
D3;6.44526;-3.47299;3.325816134;5.185869234;-3.994278938;4.196259348;4.553794437;-3.254239835;4.755575761
D3;7.05193;-3.82397;4.015535192;5.57814776;-4.19352844;5.577053089;5.51311344;-3.754826233;5.671954235
D3;6.75634;-3.7587;4.493264678;5.636058963;-4.866310758;3.749770785;5.343335102;-4.294463337;5.164806544
D3;6.88572;-3.59616;3.72343853;5.901339324;-4.547640972;3.67094988;5.110818658;-3.523514056;5.347563106
D3;6.77194;-2.36921;3.679818027;5.261237565;-3.914307227;2.779157748;4.810671463;-2.849894986;4.943770293
D3;7.37408;-2.8194;3.688692539;5.733102551;-3.974951381;4.47909256;6.027240312;-2.875973744;6.597842962
D3;7.31035;-2.52123;4.312705185;5.460879133;-4.264088581;4.947510528;4.686955387;-2.326430876;5.094995189
D3;8.43936;-12.53385;2.02409626;5.944053754;-13.71056268;3.930872704;5.671859525;-12.85697982;5.516160533
D3;8.75784;-10.12135;3.545974702;6.578225498;-11.59065853;4.893517178;5.005966768;-11.18485967;4.108431968
D3;10.10013;-4.82471;3.182698078;8.522044904;-5.946417756;5.213322752;7.725477458;-5.864826768;5.868005844
D3;13.78367;-5.3699;5.387270982;8.920739255;-5.620738445;6.358316173;8.716853487;-4.531199232;6.857079179
D3;14.05165;-2.9425;4.289148518;12.0678238;-6.374420611;5.234799988;8.529358259;-3.999983266;5.56435882
D3;8.789;-0.58837;3.694081731;10.46027847;-4.771896161;5.803522737;8.877154324;-3.121796046;6.478577491
D3;11.09685;-2.24071;4.00783015;12.01433953;-5.059003248;5.567008291;9.220998259;-3.586396626;5.667219303
D3;11.46507;-3.06849;4.194375345;11.23696956;-5.475807816;5.847862385;6.511090271;-3.726368376;0.288075386
D3;11.71394;-4.00896;4.209342224;6.696809133;-2.371524743;6.578235617;6.595765946;-2.491854195;6.153918523
D3;8.13894;-3.36323;3.964790389;5.333757356;-2.961213895;5.095297266;5.688202632;-2.783662856;5.791030626
D3;7.49665;-3.31752;3.391983445;5.469926416;-3.22514696;4.105524059;5.787011056;-2.98379454;5.812272502
D3;7.50864;-4.03867;3.78091653;4.817910489;-3.255540694;4.568763809;5.855691975;-3.392352588;6.326459449
D3;7.03508;-4.80565;3.553121549;5.373529139;-4.870064354;4.384399769;5.520227343;-4.134508092;5.456420747
D3;7.07045;-5.522;2.927126263;5.265842523;-5.485812886;4.387669705;5.956015046;-5.343138362;5.330866161
D3;5.94938;-4.42774;3.316887871;4.639068071;-4.376563105;4.402960994;5.140862556;-4.308185271;5.328060285
D4;6.35408;-5.06434;2.793733093;5.276621171;-5.468887645;4.412796339;5.43525696;-4.74639307;5.414774283
D4;5.83793;-4.21088;3.082458692;4.824101031;-4.619507752;3.792684035;5.318533026;-4.312560794;5.16475973
D4;6.87611;-6.64768;3.600647503;4.660504314;-6.316080307;4.043050133;4.854804395;-5.638606371;5.355556524
D4;6.17783;-5.69825;3.277011982;4.599100641;-6.021255386;4.190939044;5.882744302;-6.143014265;5.723904131
D4;5.79816;-7.08846;2.731823965;5.023388046;-8.34943062;3.32356547;5.412432596;-7.894573015;4.689076252
D4;6.45907;-7.03218;2.973300325;4.626172541;-6.811517603;4.146922304;5.185701721;-6.575133685;5.315871727
D4;6.48282;-5.90667;3.417277867;4.888373939;-6.078731842;4.040658726;5.5458462;-5.713621486;5.669535363
D4;6.08843;-4.12567;2.13475829;4.741712337;-4.378307983;3.518003783;4.972968185;-3.798069167;5.123398838
D4;6.35894;-5.37323;3.61495818;4.397940926;-5.487027226;4.410109964;4.872797745;-5.149928066;5.121242031
D4;5.54531;-4.18616;2.473363892;4.016607929;-4.167616009;3.40779553;4.712261191;-4.339991813;5.415003558
D4;5.91105;-4.87529;2.761187412;5.59056351;-6.30803596;3.726515616;4.779496624;-5.966664726;5.292556509
D4;5.84725;-3.57151;3.049010932;5.917514723;-5.415479977;4.045235701;5.459582807;-4.949554068;5.170109459
D4;6.98986;-3.11683;3.336834452;5.252193632;-3.672339676;5.028811808;6.554445132;-3.924842944;6.612777906
D4;7.83864;-2.77064;4.277539584;5.563405619;-3.033694006;5.412009721;7.749027988;-3.442748779;5.402731613
D4;8.29196;-2.41087;3.474253038;5.697894469;-2.396448337;5.102418379;8.890950867;-3.035118626;5.334141654
D4;9.49065;-2.27402;3.54615816;5.673339906;-1.804214218;4.608400043;5.548053041;-1.415840043;5.219240731
D4;6.38767;-0.80078;3.036469562;4.891027872;-1.219287932;3.705260316;4.988666818;-1.559741606;4.820126119
D4;5.32854;-1.9018;2.698773571;4.796631359;-2.090599345;3.907212375;4.576950258;-1.909632343;4.859276783
D4;5.79139;-2.87824;3.176679364;4.654098247;-3.028700199;3.083429679;4.587924966;-2.719791077;4.812078232
D4;4.99514;-2.64777;3.041953464;4.162978715;-2.885027562;3.332661589;4.486265495;-2.811320502;4.411898171
D4;4.88858;-2.62111;2.812562083;3.607586834;-2.213471961;3.248937362;3.54711318;-1.966442376;4.556887793
D4;3.86212;-2.40525;1.688433214;3.226543113;-2.243385536;3.457288107;3.560456554;-2.302673298;4.282889933
D4;3.38983;-3.43385;2.455195712;3.068209377;-4.002924906;3.303371904;3.32143912;-3.621961251;4.663710255
D4;3.40132;-3.33283;2.243490103;3.202354615;-3.950453216;3.474043524;3.415240265;-3.86404674;4.26176569
D5;3.71175;-3.91206;1.989619256;3.145148154;-4.156385299;2.685622677;3.540402291;-4.028089014;4.235523916
D5;3.46395;-5.73008;2.380937611;3.020953002;-6.352242532;2.917261796;3.644189791;-6.398147033;4.372520825
D5;3.52333;-4.99366;2.192424373;3.143181828;-5.576453096;3.226569938;3.464289244;-5.485255242;4.350260655
D5;3.55323;-4.25134;2.618720769;2.720643086;-4.367325408;2.815264838;3.209080481;-4.48158879;4.513363229
D5;3.62524;-4.11774;1.989854969;3.222598469;-4.414776583;2.776827666;3.484606395;-4.171494017;3.902664668
D5;3.49024;-4.00635;1.946330987;2.818262032;-4.099920863;2.926352158;3.304312622;-3.808910449;3.719458683
D5;3.49535;-5.42646;1.742662055;3.072489822;-5.914832;3.193846863;3.718205034;-5.550627632;5.420103977
D5;4.3493;-4.76284;3.694002505;3.808202796;-5.84580182;3.895631368;5.225780432;-6.418730799;5.047206897
D5;5.31954;-6.14693;0.752298407;2.937675569;-5.853869254;1.878475459;4.255760756;-6.297965396;3.523647639
D5;7.82713;-17.38965;1.168478811;5.877308099;-16.93984597;2.544424216;6.468971571;-18.02004971;4.689479462
D5;5.09485;-16.4303;3.077909887;3.076544828;-18.61713189;3.392236665;5.436387505;-17.68658646;4.689644364
D5;6.71408;-8.69441;2.830273925;5.672372581;-10.25989571;4.240049114;4.403803439;-9.676694005;4.771032688
D5;7.17239;-6.12414;3.068884529;5.449553549;-7.360780994;4.175070839;4.667121061;-6.652832108;5.598229407
D5;8.31612;-4.69429;3.401831323;5.46552432;-4.685714582;3.982635035;5.163819034;-4.15575282;5.540482066
D5;7.48895;-1.56039;2.716700383;5.559124659;-1.868489152;3.903922779;5.396590014;-1.683352976;4.946656953
D5;6.76599;-1.11105;2.938763518;5.327971313;-1.467944252;4.003142898;6.13177322;-2.205252082;5.305034878
D5;6.22833;-1.31486;3.06174795;4.850136386;-1.377983497;3.463638743;5.379330189;-2.127672126;5.396770232
D5;4.93021;-1.04523;2.673147582;4.430245234;-1.931435356;3.53438589;4.700647555;-2.223234;4.749926614
D5;4.91006;-1.6396;2.25491844;4.318057971;-1.865539831;3.618319567;4.500384794;-2.275962417;4.750039183
D5;5.40053;-2.20175;3.623236671;4.226498352;-2.112112933;3.263054334;4.436247781;-2.296668005;4.612781562
D5;4.22489;-1.50943;2.738380218;3.467823901;-1.51827762;3.215312278;3.694746397;-1.867408971;4.304649201
D5;4.31535;-2.0715;2.109440502;3.339415649;-1.968107243;2.731091704;3.660461112;-1.82054466;4.191447179
D5;3.85629;-2.10358;2.681986463;3.108777482;-1.982434476;3.170786263;3.677952218;-2.163273854;4.527643188
D5;4.534;-3.37647;3.165680883;3.334209959;-3.049178411;3.228190588;3.626079398;-2.925122695;5.08624985
D6;3.92733;-2.40359;2.748853091;3.408274151;-2.840694841;3.578381825;3.503603637;-2.674546828;4.591224054
D6;4.25403;-2.42422;2.550105663;3.283835989;-2.397844112;3.049795915;3.5468843;-2.077962011;5.036103168
D6;3.42846;-2.02149;2.909931625;2.70016138;-2.028663506;2.77165119;3.385268268;-2.410770169;3.861223771
D6;4.18694;-2.00904;2.652976594;3.614939957;-2.248186151;3.406174212;3.644908017;-2.011200177;5.145706493
D6;3.73079;-1.5214;2.261559657;3.632205878;-1.8226793;2.905061549;3.351734815;-1.510905533;4.082843793
D6;3.63159;-1.83346;1.775064062;3.020536058;-2.132071562;2.029740412;3.234697577;-1.759094013;4.712225551
D6;4.79001;-2.06211;2.826358668;3.546710562;-2.012688504;2.725310672;3.751199776;-1.54520132;5.388742063
D6;4.44216;-3.20358;2.310845396;3.215424693;-2.802431721;3.048982319;3.894062587;-3.069589872;4.560899154
D6;4.31809;-2.11372;2.416014759;4.027871842;-2.903876564;3.127117652;4.632573332;-2.674450628;4.501985555
D6;4.46287;-3.02437;2.039967868;3.567956672;-3.280076668;2.60954481;4.579068451;-3.145563488;4.54718941
D6;4.79814;-2.90942;2.844309043;4.058861343;-3.545797683;3.3849786;4.443487478;-2.991179284;5.039058145
D6;5.07757;-2.75102;2.557093535;3.985660601;-3.208974297;2.941643187;3.767856945;-2.254372734;4.444215705
D6;5.18803;-2.42638;1.973993823;3.816032196;-2.756168005;2.736310821;4.218156568;-2.627413709;4.510224806
D6;5.99206;-2.74773;2.614029502;4.494547474;-3.116031202;3.41156656;5.374475088;-3.552206116;5.287194209
D6;6.13178;-1.73892;2.587005032;3.532089709;-1.270976143;3.185806209;4.184445597;-1.44673938;4.51788229
D6;5.42048;-1.19742;1.904787209;4.169912726;-1.438624457;2.867839449;4.910114504;-1.814568865;4.876046561
D6;4.69262;-1.01283;1.968923042;3.383149628;-0.989756362;3.330952986;4.721292155;-1.517773705;5.210279013
D6;6.54623;-1.24005;3.074029274;4.084383074;-1.395252701;3.528149454;4.628283289;-1.512041742;5.258470224
D6;6.56765;-1.88988;2.926166012;3.927603353;-1.651249265;3.136968164;4.524171425;-1.573963111;4.848633087
D6;7.12334;-1.52944;3.092876519;4.059255149;-1.53756109;3.148185882;4.669289844;-1.479147321;4.921699185
D6;6.15106;-3.18022;2.529980189;4.202260222;-3.403482247;3.214959612;4.598989859;-3.213062424;5.202298708
D6;5.18752;-4.58262;1.483436592;3.972637426;-4.600665708;3.237751954;4.730423773;-4.9143573;5.269529034
D6;6.03551;-4.92375;2.020718398;4.30074578;-4.936706039;3.172469976;4.86987233;-4.666434406;5.07644541
D6;9.06333;-4.19824;3.74304728;5.255695174;-4.259713902;3.659831582;5.347727185;-4.142038654;5.299717777
D7;11.06597;-2.50146;4.426492132;5.856687025;-2.56366812;4.059504004;5.519408132;-2.857026407;5.465096211
D7;10.56404;-1.91244;4.377053904;6.150084928;-2.848050946;5.032815209;5.043432516;-2.598549685;5.13684099
D7;8.87971;-2.6316;5.411829754;6.199957738;-2.736627115;4.986254431;5.414878382;-2.572493517;5.772542898
D7;9.52441;-2.83601;5.864435446;7.603119236;-3.373956974;5.276455073;5.256549257;-2.60008881;5.631364413
