Sample;Date;N. individual;Locality;Family;Specie;AB;CC;LC;LP;LO;P;Sex;Reproductive condition;Social behavior;Trophic guild;Gradient;Habitat;Elevation
1;21/11/2016;1;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;63.27;74.6;0;13.93;20.08;35.2;Female;None;great groups;hematophagous;Semi-natural;Riparian;306
1;21/11/2016;2;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;65.09;75.62;0;16.09;19;30.4;Female;None;great groups;hematophagous;Semi-natural;Riparian;306
1;21/11/2016;3;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;66.12;79.74;0;14.02;18.27;39.2;Female;None;great groups;hematophagous;Semi-natural;Riparian;309
1;21/11/2016;4;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;60.2;70.18;0;14.22;18.14;29.8;Male;None;great groups;hematophagous;Semi-natural;Riparian;306
1;21/11/2016;5;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;62.61;80.1;0;14.42;18.69;43.5;Female;gravid;great groups;hematophagous;Semi-natural;Forest;315
1;21/11/2016;6;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;60.18;74.73;0;13.97;20.27;30.3;Male;None;great groups;hematophagous;Semi-natural;Riparian;306
1;21/11/2016;7;Balsa_Real_1;Phyllostomidae;Lophostoma occidentalis;56.15;71.43;11.73;13.11;30.78;33.6;Female;gravid;small groups;omnivore;Semi-natural;Riparian;308
1;21/11/2016;8;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;59.53;74.23;0;14.55;18.25;31.4;Male;None;great groups;hematophagous;Semi-natural;Riparian;309
1;21/11/2016;9;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;59.2;72.89;0;13.41;19.84;29.8;Female;None;great groups;hematophagous;Semi-natural;Riparian;309
1;22/11/2016;10;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;60.87;74.52;0;15.32;17.59;32.3;Male;None;great groups;hematophagous;Natural;Riparian;360
1;22/11/2016;11;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;65.61;80.77;0;16.78;19.99;43.5;Female;gravid;great groups;hematophagous;Natural;Riparian;364
1;22/11/2016;12;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;60.2;74.39;0;14.32;18.82;34.7;Male;None;great groups;hematophagous;Natural;Riparian;364
1;22/11/2016;13;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;57.19;65.78;0;12.04;16.68;31.2;Male;None;great groups;frugivorous;Natural;Forest;362
1;22/11/2016;14;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;55.04;56.34;0;12.15;16.76;25.2;Female;None;great groups;frugivorous;Natural;Riparian;361
1;22/11/2016;15;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;59.97;73.22;0;15.28;18.95;33.8;Female;None;great groups;hematophagous;Natural;Riparian;361
1;22/11/2016;16;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;63.3;74.42;0;15.1;19.39;42.4;Female;gravid;great groups;hematophagous;Natural;Forest;370
1;22/11/2016;17;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;61.81;72.84;0;14.72;18.93;38.3;Male;None;great groups;hematophagous;Natural;Riparian;361
1;23/11/2016;18;La_Manga;Phyllostomidae;Artibeus fraterculus;57.15;67.71;0;10.92;17.63;27.1;Male;None;great groups;frugivorous;Semi-natural;Forest;545
1;23/11/2016;19;La_Manga;Phyllostomidae;Artibeus fraterculus;57.49;62.45;0;11.2;17.83;29.6;Male;None;great groups;frugivorous;Semi-natural;Forest;559
1;23/11/2016;20;La_Manga;Phyllostomidae;Artibeus fraterculus;56.92;61.34;0;10.6;17.03;28.4;Male;None;great groups;frugivorous;Semi-natural;Forest;559
1;24/11/2016;21;El_Salto;Phyllostomidae;Artibeus fraterculus;54.73;62.47;0;11.83;15.6;30.5;Male;None;great groups;frugivorous;Semi-natural;Forest;418
1;24/11/2016;22;El_Salto;Phyllostomidae;Artibeus fraterculus;57.15;72.73;0;11.52;16.03;33.3;Male;None;great groups;frugivorous;Semi-natural;Forest;418
1;24/11/2016;23;El_Salto;Phyllostomidae;Artibeus fraterculus;57.7;65.61;0;11.21;17.26;42.1;Female;gravid;great groups;frugivorous;Semi-natural;Forest;425
1;24/11/2016;24;El_Salto;Phyllostomidae;Artibeus fraterculus;56.23;64.86;0;11.12;16.45;39.8;Male;None;great groups;frugivorous;Semi-natural;Forest;418
1;25/11/2016;25;Cabeza_de_Toro;Phyllostomidae;Micronycteris megalotis;33.17;37.76;12.21;7.56;19.52;6.2;Male;None;small groups;insectivorous;Natural;Forest;458
1;25/11/2016;26;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;55.54;58.93;0;11.16;16.44;32.3;Male;None;great groups;frugivorous;Natural;Riparian;452
1;25/11/2016;27;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;57.42;59.83;0;11.12;15.4;35.7;Female;None;great groups;frugivorous;Natural;Riparian;452
1;25/11/2016;28;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;55.98;59.34;0;11.08;15.51;33.4;Male;None;great groups;frugivorous;Natural;Forest;480
1;26/11/2016;29;Catanas 1;Phyllostomidae;Artibeus fraterculus;56.81;62.43;0;10.95;17.71;34.3;Female;None;great groups;frugivorous;Natural;Riparian;321
1;26/11/2016;30;Catanas 1;Phyllostomidae;Artibeus fraterculus;55.68;59.39;0;11.24;17.8;32.4;Male;None;great groups;frugivorous;Natural;Riparian;321
1;26/11/2016;31;Catanas 1;Phyllostomidae;Artibeus fraterculus;55.6;64.34;0;10.94;17.95;33.2;Female;None;great groups;frugivorous;Natural;Riparian;345
1;26/11/2016;32;Catanas 1;Phyllostomidae;Artibeus fraterculus;57.33;64.4;0;11.01;16.01;33.6;Male;None;great groups;frugivorous;Natural;Riparian;355
1;26/11/2016;33;Catanas 1;Phyllostomidae;Artibeus fraterculus;56.74;62.18;0;10.39;17.67;33.9;Male;None;great groups;frugivorous;Natural;Riparian;355
1;26/11/2016;34;Catanas 1;Phyllostomidae;Artibeus fraterculus;57.8;59.72;0;11.27;16.3;34.4;Female;None;great groups;frugivorous;Natural;Forest;368
1;26/11/2016;35;Catanas 1;Phyllostomidae;Lophostoma occidentalis;57.23;61.79;15.12;12.69;29.52;24.5;Female;None;small groups;omnivore;Natural;Riparian;333
1;26/11/2016;36;Catanas 1;Phyllostomidae;Desmodus rotundus;63.4;65.39;0;15.08;17.99;37.3;Female;None;great groups;hematophagous;Natural;Riparian;355
1;26/11/2016;37;Catanas 1;Phyllostomidae;Desmodus rotundus;59.03;59.1;0;14.55;18.02;31.2;Male;None;great groups;hematophagous;Natural;Riparian;355
1;26/11/2016;38;Catanas 1;Phyllostomidae;Desmodus rotundus;58.79;60.93;0;13.6;18.48;35.5;Male;None;great groups;hematophagous;Natural;Riparian;345
1;27/11/2016;39;Chaquiro;Phyllostomidae;Desmodus rotundus;54.23;57.12;0;12.09;16.74;29.8;Male;None;great groups;hematophagous;Degraded;Riparian;210
1;27/11/2016;40;Chaquiro;Phyllostomidae;Desmodus rotundus;55.71;59.21;0;12.81;16.93;30.7;Male;None;great groups;hematophagous;Degraded;Riparian;219
1;28/11/2016;41;Malvas_2;Phyllostomidae;Artibeus fraterculus;57.02;58.6;0;11.75;18.5;38.2;Male;None;great groups;frugivorous;Degraded;Riparian;251
1;28/11/2016;42;Malvas_2;Phyllostomidae;Artibeus fraterculus;57.72;59.93;0;11.67;17.95;39.1;Male;None;great groups;frugivorous;Degraded;Riparian;251
1;29/11/2016;43;Malvas_1;Phyllostomidae;Artibeus fraterculus;53.08;61.12;0;12.04;17.2;33.8;Male;None;great groups;frugivorous;Degraded;Riparian;306
1;29/11/2016;44;Malvas_1;Phyllostomidae;Artibeus fraterculus;55.12;64.5;0;12.35;17.98;33.3;Male;None;great groups;frugivorous;Degraded;Riparian;306
1;29/11/2016;45;Malvas_1;Phyllostomidae;Artibeus fraterculus;55.84;63.98;0;12.29;17.84;34.7;Male;None;great groups;frugivorous;Degraded;Riparian;310
2;23/01/2017;46;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;63.69;78.24;0;14.57;16.49;34.8;Female;None;great groups;hematophagous;Semi-natural;Riparian;309
2;23/01/2017;47;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;66.75;84.11;0;15.42;18.26;44.1;Female;gravid;great groups;hematophagous;Semi-natural;Riparian;309
2;23/01/2017;48;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;65.43;76.45;0;16.37;17.83;33.4;Female;None;great groups;hematophagous;Semi-natural;Riparian;308
2;23/01/2017;49;Balsa_Real_1;Phyllostomidae;Desmodus rotundus;66.11;76.56;0;14.79;19.7;31.02;Female;None;great groups;hematophagous;Semi-natural;Riparian;306
2;23/01/2017;50;Balsa_Real_1;Vespertilionidae;Myotis nigricans;34.12;39.32;35.72;5.95;12.55;3.4;Female;None;great groups;insectivorous;Semi-natural;Riparian;306
2;24/01/2017;51;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;62.47;77.76;0;16.04;18.47;38.4;Female;None;great groups;hematophagous;Natural;Riparian;364
2;24/01/2017;52;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;63.52;79.81;0;15.25;19.66;45.2;Female;gravid;great groups;hematophagous;Natural;Riparian;364
2;24/01/2017;53;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;62.43;73.64;0;15.24;18.44;34.3;Male;scrotal testicles;great groups;hematophagous;Natural;Forest;360
2;24/01/2017;54;Balsa_Real_2;Phyllostomidae;Desmodus rotundus;63.55;79.09;0;15.38;19.23;42.3;Female;None;great groups;hematophagous;Natural;Riparian;361
2;24/01/2017;55;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;55.48;71.5;0;11.47;20.09;27.3;Female;None;great groups;frugivorous;Natural;Riparian;361
2;24/01/2017;56;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;56.58;73.58;0;12.69;18.13;32.8;Female;None;great groups;frugivorous;Natural;Riparian;361
2;24/01/2017;57;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;55.52;70.81;0;12.33;18.11;26.8;Female;None;great groups;frugivorous;Natural;Riparian;364
2;24/01/2017;58;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;56.6;72.54;0;12.78;18.28;25.6;Female;None;great groups;frugivorous;Natural;Riparian;364
2;24/01/2017;59;Balsa_Real_2;Phyllostomidae;Artibeus fraterculus;55.4;71.68;0;10.59;17.66;27;Female;None;great groups;frugivorous;Natural;Riparian;361
2;24/01/2017;60;Balsa_Real_2;Phyllostomidae;Gardnerycteris crenulatum;52.85;61.43;22.24;9.39;24.23;18.2;Male;None;small groups;insectivorous;Natural;Riparian;360
2;24/01/2017;61;Balsa_Real_2;Phyllostomidae;Gardnerycteris crenulatum;52.18;59.36;25.76;9.42;26.38;14.4;Male;None;small groups;insectivorous;Natural;Riparian;361
2;25/01/2017;62;Malvas_1;Phyllostomidae;Artibeus fraterculus;54.92;70.2;0;11.21;18.94;27.5;Male;None;great groups;frugivorous;Degraded;Riparian;306
2;25/01/2017;63;Malvas_1;Phyllostomidae;Artibeus fraterculus;56.32;71.94;0;11.25;19.31;26.9;Male;None;great groups;frugivorous;Degraded;Riparian;271
2;25/01/2017;64;Malvas_1;Phyllostomidae;Artibeus fraterculus;54.09;66.91;0;10.25;17.22;32.6;Female;None;great groups;frugivorous;Degraded;Forest;275
2;26/01/2017;65;El_Salto;Phyllostomidae;Glossophaga soricina;36.66;46.37;4.61;8.83;14.68;10.2;Female;None;small groups;nectarivore;Semi-natural;Forest;418
2;26/01/2017;66;El_Salto;Phyllostomidae;Glossophaga soricina;36.14;45.87;4.37;8.15;13.98;9.9;Female;None;small groups;nectarivore;Semi-natural;Forest;418
2;26/01/2017;67;El_Salto;Phyllostomidae;Artibeus fraterculus;58.87;68.02;0;11.09;15.57;34.4;Female;None;great groups;frugivorous;Semi-natural;Riparian;408
2;26/01/2017;68;El_Salto;Phyllostomidae;Artibeus fraterculus;56.12;67.18;0;10.57;13.94;32.3;Female;None;great groups;frugivorous;Semi-natural;Forest;425
2;26/01/2017;69;El_Salto;Phyllostomidae;Lophostoma occidentalis;56.52;60.88;12.57;12.93;26.47;27.5;Female;None;small groups;omnivore;Semi-natural;Forest;425
2;27/01/2017;70;La_Manga;Phyllostomidae;Desmodus rotundus;58.13;80.12;0;14.08;19.24;32.7;Male;scrotal testicles;great groups;hematophagous;Semi-natural;Forest;545
2;27/01/2017;71;La_Manga;Phyllostomidae;Artibeus fraterculus;54.43;67.81;0;11.54;17.15;31.6;Female;None;great groups;frugivorous;Semi-natural;Forest;545
2;27/01/2017;72;La_Manga;Phyllostomidae;Artibeus fraterculus;52.21;64.91;0;10.12;16.34;29.8;Female;None;great groups;frugivorous;Semi-natural;Forest;559
2;29/01/2017;73;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;58.25;71.51;0;12.17;17.57;37.9;Male;None;great groups;frugivorous;Natural;Riparian;452
2;29/01/2017;74;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;55.88;71.41;0;11.35;16.75;33.4;Female;None;great groups;frugivorous;Natural;Riparian;452
2;29/01/2017;75;Cabeza_de_Toro;Phyllostomidae;Micronycteris megalotis;32.98;37.14;11.78;7.12;18.69;6.4;Male;None;small groups;insectivorous;Natural;Forest;458
3;13/05/2017;76;Malvas_1;Phyllostomidae;Artibeus fraterculus;56.92;65.89;0;10.95;15.6;29.99;Female;None;great groups;frugivorous;Degraded;Forest;306
3;13/05/2017;77;Malvas_1;Phyllostomidae;Desmodus rotundus;63.26;80.62;0;12.45;15.65;29.66;Female;None;great groups;hematophagous;Degraded;Forest;306
3;13/05/2017;78;Malvas_1;Phyllostomidae;Desmodus rotundus;68.25;71.92;0;12.48;17.66;37.24;Female;None;great groups;hematophagous;Degraded;Forest;310
3;13/05/2017;79;Malvas_1;Phyllostomidae;Artibeus fraterculus;58.14;67.29;0;11.14;15.92;32.86;Female;None;great groups;frugivorous;Degraded;Forest;306
3;14/05/2017;80;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;55.33;66.41;0;10.03;15.29;32.93;Female;None;great groups;frugivorous;Natural;Riparian;452
3;14/05/2017;81;Cabeza_de_Toro;Phyllostomidae;Artibeus fraterculus;54.84;67.11;0;10.11;15.12;34.43;Female;None;great groups;frugivorous;Natural;Riparian;452
