Soil metals[mg/dL];Plant metals[mg/dL];Overall transferences[%];Leave transferences[%];Metal;Source samples
13,52965847;5,145318994;38,02992519;10,59850374;Pb;Mosquera
13,59713806;4,807921028;35,35980149;11,1662531;Pb;Mosquera
13,36095949;5,482716961;41,03535354;13,25757576;Pb;Mosquera
12,70303345;4,892270519;38,5126162;12,61620186;Pb;Mosquera
42,9995;7,1065;16,52693636;4,869824068;Cu;Mosquera
40,6345;7,201;17,72139438;5,494099841;Cu;Mosquera
40,2245;8,1515;20,26501262;7,619734242;Cu;Mosquera
39,0895;6,4365;16,46605866;5,550083782;Cu;Mosquera
49,0528433;10,44596818;21,29533679;6,177317214;Cr;Mosquera
50,63428212;10,80461592;21,33853876;6,374790853;Cr;Mosquera
49,0528433;11,9003271;24,26021877;6,827864134;Cr;Mosquera
51,83448122;11,56427135;22,30999728;6,614001634;Cr;Mosquera
2,14;0,4048;18,91588785;5,635514019;Ni;Mosquera
2,6281;0,3978;15,13641033;4,973174537;Ni;Mosquera
2,8642;0,4354;15,20145241;3,260945465;Ni;Mosquera
2,5983;0,3942;15,17145826;3,294461763;Ni;Mosquera
24,72986248;2,706286837;10,94339623;2,704402516;As;Mosquera
27,99607073;3,73280943;13,33333333;4,777777778;As;Mosquera
24,41879502;2,955140799;12,10191083;4,012738854;As;Mosquera
29,70694172;3,390635232;11,41361257;4,136125654;As;Mosquera
4,104754129;1,334940024;32,52180233;10,50145349;Cd;Mosquera
3,943666395;1,333448471;33,81240545;10,85476551;Cd;Mosquera
4,074923067;1,311075174;32,17423133;9,919472914;Cd;Mosquera
3,824342147;1,243955285;32,52730109;10,21840874;Cd;Mosquera
6,809387867;2,471177601;36,2907452;9,301959962;Co;Mosquera
7,097721658;2,453335163;34,56510809;8,924082453;Co;Mosquera
7,069173758;2,453335163;34,7046946;8,707723372;Co;Mosquera
6,99423552;2,364122976;33,80102041;8,673469388;Co;Mosquera
33,67231709;12,65242376;37,5751503;15,78156313;Pb;Sibate
33,18309004;12,39937528;37,36654804;12,20132181;Pb;Sibate
33,50924141;12,56807427;37,506293;14,59976506;Pb;Sibate
33,34616572;12,48372477;37,43676223;13,40640809;Pb;Sibate
34,865;7,751;22,23146422;6,793345762;Cu;Sibate
34,71;7,313;21,06885624;6,525496975;Cu;Sibate
34,81333333;7,605;21,84507851;6,704327844;Cu;Sibate
34,76166667;7,459;21,45754423;6,615045309;Cu;Sibate
61,40783405;18,02275452;29,3492757;10,38859508;Cr;Sibate
56,62115764;19,29920156;34,08478803;11,97007481;Cr;Sibate
59,81227525;18,44823686;30,84356311;10,88762984;Cr;Sibate
58,21671644;18,87371921;32,41975908;11,41401892;Cr;Sibate
3,2063;0,6938;21,63864891;6,668122135;Ni;Sibate
3,2017;0,6469;20,20489115;6,605865634;Ni;Sibate
3,204766667;0,678166667;21,16118698;6,647389826;Ni;Sibate
3,203233333;0,662533333;20,68326795;6,626637668;Ni;Sibate
25,50753111;4,183857236;16,40243902;6,158536585;As;Sibate
28,15160445;4,541584807;16,13259669;5,635359116;As;Sibate
26,82956778;4,362721022;16,26086957;5,884057971;As;Sibate
26,16854944;4,273289129;16,32986627;6,017830609;As;Sibate
4,170382466;1,306600515;31,3304721;9,835479256;Cd;Sibate
4,122652766;1,343441877;32,58683068;10,69826339;Cd;Sibate
4,154472566;1,318880969;31,74605074;10,12087123;Cd;Sibate
4,138562666;1,331161423;32,1648246;10,40845747;Cd;Sibate
8,043370848;2,704003568;33,61779059;9,760425909;Co;Sibate
8,084051606;3,846829536;47,58541538;9,049174539;Co;Sibate
8,056931101;3,084945558;38,2893377;9,522544069;Co;Sibate
8,070491353;3,465887547;42,9451863;9,28546162;Co;Sibate
